,datetime,stockcode,TC,KL
0,2020-09-05 14:25:50,HVN,26.4,26.2
1,2020-09-05 14:26:54,HVN,26.4,26.2
2,2020-09-05 14:27:57,HVN,26.4,26.2
3,2020-09-05 14:29:43,HVN,26.4,26.2
4,2020-09-05 14:34:47,HVN,26.4,26.2
5,2020-09-05 14:39:50,HVN,26.4,26.2
6,2020-09-05 14:44:54,HVN,26.4,26.2
7,2020-09-05 14:50:06,HVN,26.4,26.2
8,2020-09-05 14:55:10,HVN,26.4,26.2
9,2020-09-05 15:00:13,HVN,26.4,26.2
10,2020-09-05 15:05:17,HVN,26.4,26.2
11,2020-09-05 15:10:27,HVN,26.4,26.2
12,2020-09-05 15:15:31,HVN,26.4,26.2
13,2020-09-05 15:20:35,HVN,26.4,26.2
14,2020-09-05 15:25:45,HVN,26.4,26.2
15,2020-09-05 15:30:48,HVN,26.4,26.2
16,2020-09-05 15:35:52,HVN,26.4,26.2
17,2020-09-05 15:40:56,HVN,26.4,26.2
18,2020-09-05 15:46:10,HVN,26.4,26.2
19,2020-09-05 15:51:14,HVN,26.4,26.2
20,2020-09-05 15:56:18,HVN,26.4,26.2
21,2020-09-05 16:01:27,HVN,26.4,26.2
22,2020-09-05 16:06:31,HVN,26.4,26.2
23,2020-09-05 16:11:35,HVN,26.4,26.2
24,2020-09-05 16:16:43,HVN,26.4,26.2
